uid,vid,cid,playtime,duration,date,rank
100137,100243,100019,357,11867,20200904,4
100137,102318,100037,1266,15634,20200904,5
100140,107415,100028,2102,10032,20200904,1
100140,102252,100090,12187,12771,20200904,2
100140,101166,100180,12094,16719,20200904,3
100140,103911,100342,12209,11334,20200904,4
100140,101536,100037,12235,10248,20200904,5
100147,102248,100256,10042,12013,20200904,1
100147,109316,100013,1943,14629,20200904,2
100147,103479,100000,10035,8174,20200904,3
100147,104327,100000,1910,10171,20200904,4
100147,101094,100049,22481,10008,20200904,5
100151,100356,100000,730,9056,20200904,1
100151,100962,100030,4993,22291,20200904,2
100151,103791,100338,13031,8399,20200904,3
100151,101775,100035,1417,7663,20200904,4
100151,100458,100000,605,3994,20200904,5
100156,101876,100043,8861,8434,20200904,1
100156,100801,100055,6916,3065,20200904,2
100156,100727,100019,8913,11288,20200904,3
100156,104906,100000,10957,5202,20200904,4
100156,102171,100030,8948,47867,20200904,5
100159,102990,100049,8301,9929,20200904,1
100159,105632,100053,3747,9531,20200904,2
100159,104200,100000,692,11075,20200904,3
100159,100007,100007,7926,19321,20200904,4
100159,104145,100139,9744,11534,20200904,5
100163,107415,100028,2181,10032,20200904,1
100163,100580,100017,14036,3390,20200904,2
100163,100458,100000,2255,3994,20200904,3
100163,104327,100000,14142,10171,20200904,4
100163,100356,100000,7429,9056,20200904,5
100164,100397,100107,8197,15418,20200904,1
100164,104473,100113,8626,14908,20200904,2
100164,103782,100049,8221,12213,20200904,3
100164,105461,100179,8653,14139,20200904,4
100164,103065,100203,8923,20205,20200904,5
100169,101001,100027,3489,33158,20200904,1
100169,103047,100008,16559,6920,20200904,2
100169,103375,100027,5162,11284,20200904,3
100169,101062,100051,2939,7234,20200904,4
100169,101543,100113,3531,8055,20200904,5
100177,100962,100030,1700,22291,20200904,1
100177,103650,100333,2109,9400,20200904,2
100177,104352,100080,20891,9088,20200904,3
100177,103727,100028,11244,7621,20200904,4
100177,102437,100000,4694,9557,20200904,5
100186,102345,100000,3469,13227,20200904,1
100186,108156,100010,5194,11703,20200904,2
100186,101025,100009,12910,39893,20200904,3
100186,102285,100260,1077,20492,20200904,4
100186,102872,100059,3990,10008,20200904,5
100188,100011,100011,5688,8960,20200904,1
100188,103644,100009,7021,5943,20200904,2
100188,105964,100011,4836,15034,20200904,3
100188,103885,100015,9333,8921,20200904,4
100188,103998,100027,1896,8138,20200904,5
100193,102088,100247,26190,9728,20200904,1
100193,109519,100009,26828,11855,20200904,2
100193,103984,100054,3498,9034,20200904,3
100193,103517,100099,26663,12967,20200904,4
100193,102384,100270,9197,16601,20200904,5
100195,102562,100005,1769,140017,20200904,1
100195,102318,100037,10682,15634,20200904,2
100195,105889,100043,10427,4200,20200904,3
100195,101481,100017,8635,5967,20200904,4
100195,100885,100000,8665,9000,20200904,5
100196,102795,100262,10329,12334,20200904,1
100196,102068,100000,7414,9234,20200904,2
100196,102338,100011,6030,9534,20200904,3
100196,104214,100015,6045,10100,20200904,4
100196,104317,100357,6203,11123,20200904,5
100200,102725,100224,11846,7167,20200904,1
100200,103920,100000,1300,13909,20200904,2
100200,103052,100027,12066,7152,20200904,3
100200,103894,100011,1709,10434,20200904,4
100200,103678,100019,11998,9600,20200904,5
100207,100527,100001,3183,26761,20200904,1
100207,100481,100027,36930,18019,20200904,2
100207,101938,100011,12244,13101,20200904,3
100207,100316,100054,12243,4667,20200904,4
100207,103894,100011,1191,10455,20200904,5
100233,100458,100000,6547,3994,20200904,1
100233,106164,100054,14730,10309,20200904,2
100233,105362,100054,14016,11776,20200904,3
100233,103787,100332,13742,8267,20200904,4
100233,101312,100000,16162,38220,20200904,5
100241,100801,100055,783,3065,20200904,1
100241,104327,100000,622,10171,20200904,2
100241,102107,100054,609,22709,20200904,3
100241,103552,100053,49,10731,20200904,4
100241,101145,100013,8790,11534,20200904,5
100245,102725,100224,9952,7106,20200904,1
100245,102475,100027,9906,10500,20200904,2
100245,102950,100019,9969,17137,20200904,3
100245,100801,100055,9933,3065,20200904,4
100245,102318,100037,9929,15655,20200904,5
100248,101145,100013,5469,11534,20200904,1
100248,103816,100035,17331,11534,20200904,2
100248,105086,100013,11566,9381,20200904,3
100248,100801,100055,11531,3034,20200904,4
100248,101002,100017,5693,7467,20200904,5
100249,100541,100057,11441,6933,20200904,1
100249,103080,100053,12150,5446,20200904,2
100249,100350,100100,0,8701,20200904,3
100249,100788,100113,0,10380,20200904,4
100249,101350,100049,12112,6000,20200904,5
100254,105372,100054,22121,16721,20200904,1
100254,104865,100131,18445,15463,20200904,2
100254,102345,100000,22065,13227,20200904,3
100254,104048,100054,18189,31201,20200904,4
100254,100110,100000,3363,6656,20200904,5
100264,106300,100009,6357,11300,20200904,1
100264,100676,100054,5904,45134,20200904,2
100264,104327,100000,6780,10171,20200904,3
100264,101817,100027,4910,7641,20200904,4
100264,100566,100010,5139,12267,20200904,5
100265,103484,100009,3220,25124,20200904,1
100265,109147,100045,6395,10171,20200904,2
100265,103561,100326,7168,10534,20200904,3
100265,103178,100037,2445,9775,20200904,4
100265,106198,100039,11307,15421,20200904,5
100270,100492,100004,11238,8104,20200904,1
100270,100698,100134,6055,11050,20200904,2
100270,104807,100026,10555,15253,20200904,3
100270,103964,100027,6581,9684,20200904,4
100270,102711,100000,8358,22847,20200904,5
100280,100932,100054,2154,47855,20200904,1
100280,105170,100285,8660,24988,20200904,2
100280,103484,100009,8770,25124,20200904,3
100280,107081,100026,2107,8612,20200904,4
100280,102826,100011,8794,7301,20200904,5
100281,100801,100055,7436,3034,20200904,1
100281,101958,100008,7461,15817,20200904,2
100281,103964,100027,4405,9734,20200904,3
100281,103740,100017,7410,9634,20200904,4
100281,106300,100009,6437,11300,20200904,5
100286,100458,100000,2199,3994,20200904,1
100286,103237,100017,34386,6522,20200904,2
100286,100580,100017,3599,3390,20200904,3
100286,100084,100035,24353,11600,20200904,4
100286,103260,100034,1949,6223,20200904,5
100295,102859,100019,44320,13255,20200904,1
100295,102319,100005,6383,11861,20200904,2
100295,100143,100060,2449,10843,20200904,3
100295,102475,100027,7065,10500,20200904,4
100295,103021,100131,4358,7175,20200904,5
100297,102225,100055,675,12095,20200904,1
100297,103177,100037,5947,8880,20200904,2
100297,101870,100000,5156,10310,20200904,3
100297,102932,100024,6560,8840,20200904,4
100297,102725,100224,6276,7167,20200904,5
100305,104268,100270,6120,9034,20200904,1
100305,103791,100338,8194,8399,20200904,2
100305,101363,100000,7424,8685,20200904,3
100305,106300,100009,655,11332,20200904,4
100305,100623,100084,25481,16488,20200904,5
100306,100177,100000,6179,31486,20200904,1
100306,105466,100049,6152,27688,20200904,2
100306,104327,100000,9167,10171,20200904,3
100306,102200,100000,6170,11267,20200904,4
100306,103782,100049,9167,12213,20200904,5
100312,100223,100059,8002,10011,20200904,1
100312,102770,100000,3350,14933,20200904,2
100312,105920,100045,3723,8055,20200904,3
100312,102437,100000,6576,9536,20200904,4
100312,107081,100026,10228,8612,20200904,5
100314,102725,100224,5530,7106,20200904,1
100314,103471,100001,8211,56734,20200904,2
100314,100698,100134,8489,11100,20200904,3
100314,100750,100000,8333,3934,20200904,4
100314,101450,100090,7953,15334,20200904,5
100317,104214,100015,4819,10100,20200904,1
100317,100286,100096,3067,9067,20200904,2
100317,109125,100147,1778,11567,20200904,3
100317,101351,100010,6806,7586,20200904,4
100317,102782,100065,2883,4434,20200904,5
100323,104063,100012,5245,10234,20200904,1
100323,100272,100051,6607,9067,20200904,2
100323,105399,100028,10388,8776,20200904,3
100323,101256,100190,9336,5667,20200904,4
100323,104306,100000,11450,6134,20200904,5
100341,102725,100224,41819,7167,20200904,1
100341,102356,100005,36514,142153,20200904,2
100341,102349,100019,15692,7524,20200904,3
100341,102950,100019,3585,17137,20200904,4
100341,101691,100000,6969,7917,20200904,5
100342,105415,100131,12089,13767,20200904,1
100342,100801,100055,7214,3065,20200904,2
100342,100408,100049,2696,7942,20200904,3
100342,103927,100027,2469,5572,20200904,4
100342,101596,100008,908,20966,20200904,5
100355,104268,100270,8925,9034,20200904,1
100355,102896,100000,8904,6421,20200904,2
100355,103169,100049,8871,7667,20200904,3
100355,105818,100013,8881,8426,20200904,4
100355,101002,100017,8911,7467,20200904,5
100357,105709,100049,6174,5291,20200904,1
100357,100458,100000,6178,3994,20200904,2
100357,100815,100027,5996,5394,20200904,3
100357,108240,100013,6184,6421,20200904,4
100357,102933,100019,6158,8960,20200904,5
100363,100787,100069,8261,15467,20200904,1
100363,101938,100011,6703,13080,20200904,2
100363,101894,100000,6828,14134,20200904,3
100363,101299,100077,6554,11834,20200904,4
100363,103740,100017,8148,9634,20200904,5
100372,102725,100224,14136,7106,20200904,1
100372,100962,100030,46908,22291,20200904,2
100372,100787,100069,4461,15465,20200904,3
100372,103928,100343,59733,15765,20200904,4
100372,101715,100008,7033,8450,20200904,5
100378,104618,100122,10864,11053,20200904,1
100378,104321,100358,10921,13300,20200904,2
100378,100286,100096,10865,9067,20200904,3
100378,104726,100057,10850,8685,20200904,4
100378,101504,100010,10846,9753,20200904,5
100380,100491,100033,11922,14534,20200904,1
100380,101155,100000,6953,6502,20200904,2
100380,100052,100026,12930,9917,20200904,3
100380,104235,100355,7932,28055,20200904,4
100380,104656,100000,4926,9355,20200904,5
100389,103262,100313,4291,16038,20200904,1
100389,104077,100017,1024,8254,20200904,2
100389,103987,100147,1629,12034,20200904,3
100389,105034,100054,7308,8359,20200904,4
100389,101648,100217,1793,10752,20200904,5
100391,100801,100055,0,3057,20200904,1
100391,103691,100000,4542,7338,20200904,2
100391,103964,100027,5583,9684,20200904,3
100391,103400,100027,6574,13005,20200904,4
100391,104760,100009,7505,6455,20200904,5
100407,101066,100000,2195,5155,20200904,1
100407,108175,100028,14080,7367,20200904,2
100407,102564,100009,2052,12680,20200904,3
100407,100452,100000,2134,5991,20200904,4
100407,104048,100054,14246,31198,20200904,5
100418,101938,100011,53698,13080,20200904,1
100418,102318,100037,9312,15634,20200904,2
100418,102193,100049,6268,12246,20200904,3
100418,104686,100011,2616,8267,20200904,4
100418,103375,100027,4912,11367,20200904,5
100424,102725,100224,6002,7106,20200904,1
100424,100602,100013,8983,19967,20200904,2
100424,103985,100000,6978,6476,20200904,3
100424,100675,100000,8986,13255,20200904,4
100424,102349,100019,6978,7524,20200904,5
100446,101025,100009,5936,39893,20200904,1
100446,101363,100000,8968,8685,20200904,2
100446,101293,100177,7575,47680,20200904,3
100446,100276,100024,6850,12088,20200904,4
100446,106502,100063,9776,8246,20200904,5
100448,107266,100027,9028,7234,20200904,1
100448,103756,100019,6906,5200,20200904,2
100448,101329,100063,9043,4567,20200904,3
100448,100011,100011,4890,8939,20200904,4
100448,100562,100055,7994,9634,20200904,5
100450,103205,100026,3584,7209,20200904,1
100450,105034,100054,2510,8359,20200904,2
100450,107106,100054,7436,21478,20200904,3
100450,104500,100009,6187,16600,20200904,4
100450,100801,100055,4745,3065,20200904,5
100456,104965,100049,6261,12028,20200904,1
100456,104143,100028,5057,14269,20200904,2
100456,103791,100338,27596,8399,20200904,3
100456,102384,100270,3593,16601,20200904,4
100456,100962,100030,6604,22291,20200904,5
100457,104177,100017,3894,7900,20200904,1
100457,102318,100037,3625,15655,20200904,2
100457,101025,100009,4945,39893,20200904,3
100457,102987,100065,10933,8359,20200904,4
100457,102147,100017,17120,8081,20200904,5
100458,102725,100224,13163,7106,20200904,1
100458,101756,100000,5503,8725,20200904,2
100458,103987,100147,8449,12034,20200904,3
100458,101062,100051,8477,7255,20200904,4
100458,104063,100012,5086,10264,20200904,5
100483,104656,100000,19853,9334,20200904,1
100483,100212,100082,9269,19870,20200904,2
100483,100801,100055,19427,3034,20200904,3
100483,100163,100005,7227,9877,20200904,4
100483,100299,100049,3221,4064,20200904,5
100489,104443,100017,4989,8100,20200904,1
100489,103200,100017,4984,7112,20200904,2
100489,103899,100017,203,31267,20200904,3
100489,105346,100017,4569,7934,20200904,4
100489,106865,100054,4530,12413,20200904,5
100491,103987,100147,1114,12034,20200904,1
100491,107415,100028,3821,10011,20200904,2
100491,100025,100000,3089,11634,20200904,3
100491,100955,100049,4143,17700,20200904,4
100491,100373,100049,3336,7640,20200904,5
100492,101273,100017,8237,7175,20200904,1
100492,103972,100000,8865,5434,20200904,2
100492,108121,100019,9091,6756,20200904,3
100492,102725,100224,9134,7084,20200904,4
100492,100782,100000,9092,8600,20200904,5
100493,104443,100017,9843,8100,20200904,1
100493,103791,100338,12626,8367,20200904,2
100493,102749,100288,57918,140017,20200904,3
100493,103618,100329,8953,8700,20200904,4
100493,103754,100007,10843,71146,20200904,5
100497,102749,100288,16782,140017,20200904,1
100497,101104,100049,13787,10589,20200904,2
100497,102725,100224,32537,7106,20200904,3
100497,100718,100024,8252,10334,20200904,4
100497,102200,100000,12955,11267,20200904,5
100504,104235,100355,107460,28055,20200904,1
100504,103262,100313,12266,16100,20200904,2
100504,104454,100364,83918,13143,20200904,3
100504,101958,100008,12236,15817,20200904,4
100504,104143,100028,515081,14248,20200904,5
100511,107376,100018,10422,4321,20200904,1
100511,102318,100037,4415,15655,20200904,2
100511,106979,100057,3000,18669,20200904,3
100511,103894,100011,3108,10455,20200904,4
100511,101094,100049,2906,10008,20200904,5
100516,101428,100204,1573,11818,20200904,1
100516,101120,100037,3093,10681,20200904,2
100516,101682,100019,2977,11264,20200904,3
100516,101536,100037,5331,10248,20200904,4
100516,103590,100327,8655,10321,20200904,5
100518,104656,100000,1894,9355,20200904,1
100518,103310,100086,1964,33483,20200904,2
100518,103484,100009,321,25124,20200904,3
100518,103484,100009,5692,25124,20200904,4
100518,103268,100017,10062,6502,20200904,5
100521,102418,100054,14759,57567,20200904,1
100521,100458,100000,8890,3994,20200904,2
100521,100642,100049,10482,6084,20200904,3
100521,103736,100027,7198,9010,20200904,4
100521,101483,100037,13274,7595,20200904,5
100525,100801,100055,6784,3034,20200904,1
100525,105694,100013,6142,9367,20200904,2
100525,100458,100000,2952,3967,20200904,3
100525,106857,100028,6098,11567,20200904,4
100525,105920,100045,7079,8034,20200904,5
100532,105554,100000,10846,5084,20200904,1
100532,100458,100000,10866,3994,20200904,2
100532,100801,100055,10808,3065,20200904,3
100532,103845,100019,10804,8200,20200904,4
100532,100105,100030,10847,78734,20200904,5
100537,104327,100000,14026,10124,20200904,1
100537,102314,100054,14086,99400,20200904,2
100537,100356,100000,14121,9010,20200904,3
100537,102864,100017,14048,10200,20200904,4
100537,100718,100024,2125,10334,20200904,5
100548,101299,100077,7413,11796,20200904,1
100548,102834,100010,4412,12073,20200904,2
100548,100171,100012,3262,33817,20200904,3
100548,101410,100054,4543,50434,20200904,4
100548,102689,100012,3075,36519,20200904,5
100549,102725,100224,7319,7106,20200904,1
100549,104618,100122,5398,11053,20200904,2
100549,100801,100055,3840,3065,20200904,3
100549,100481,100027,5796,18019,20200904,4
100549,100458,100000,13116,3994,20200904,5
100556,100801,100055,8776,3065,20200904,1
100556,100600,100000,7127,4988,20200904,2
100556,103931,100019,9361,140156,20200904,3
100556,100815,100027,9205,5394,20200904,4
100556,100458,100000,6732,3994,20200904,5
100558,101906,100063,1909,6367,20200904,1
100558,104214,100015,12104,10100,20200904,2
100558,101631,100215,9920,6788,20200904,3
100558,101273,100017,15083,7175,20200904,4
100558,102827,100009,16136,12028,20200904,5
100566,103047,100008,4814,6920,20200904,1
100566,100021,100000,7611,5805,20200904,2
100566,100238,100090,9374,30017,20200904,3
100566,102446,100005,9159,7040,20200904,4
100566,100672,100024,8089,9427,20200904,5
100580,105876,100009,6419,9451,20200904,1
100580,100458,100000,7539,3967,20200904,2
100580,101292,100017,11477,6267,20200904,3
100580,101988,100061,10494,7534,20200904,4
100580,102846,100037,7480,7234,20200904,5
100581,101906,100063,9968,6367,20200904,1
100581,101874,100027,9978,9067,20200904,2
100581,102900,100010,9975,5284,20200904,3
100581,101446,100099,9979,4167,20200904,4
100581,101807,100005,9977,7723,20200904,5
100591,102620,100027,1460,19923,20200904,1
100591,101061,100022,258,9728,20200904,2
100591,103754,100007,34066,71146,20200904,3
100591,100112,100017,214,7245,20200904,4
100591,102586,100037,26747,9335,20200904,5
100597,104242,100028,12286,6734,20200904,1
100597,102366,100017,12267,9311,20200904,2
100597,100971,100013,12263,7400,20200904,3
100597,101931,100240,12185,6921,20200904,4
100597,101289,100108,11908,8592,20200904,5
100604,101062,100051,7004,7234,20200904,1
100604,106193,100000,6980,6827,20200904,2
100604,106542,100043,6989,7067,20200904,3
100604,106345,100028,7007,5155,20200904,4
100604,100023,100013,6997,5771,20200904,5
100609,103484,100009,12106,25124,20200904,1
100609,102964,100026,6983,8335,20200904,2
100609,102964,100026,621,8335,20200904,3
100609,103054,100027,7870,6755,20200904,4
100609,100458,100000,6688,3994,20200904,5
100626,100458,100000,6926,3967,20200904,1
100626,102318,100037,6243,15634,20200904,2
100626,108987,100009,6277,4970,20200904,3
100626,103894,100011,6318,10434,20200904,4
100626,103401,100049,6440,11534,20200904,5
100627,103484,100009,5954,25124,20200904,1
100627,104724,100009,5951,4945,20200904,2
100627,105554,100000,10933,5084,20200904,3
100627,102727,100055,10952,9364,20200904,4
100627,100243,100019,9926,11817,20200904,5
100632,100801,100055,7825,3065,20200904,1
100632,100253,100000,10782,61376,20200904,2
100632,100458,100000,8714,3994,20200904,3
100632,103691,100000,7739,7338,20200904,4
100632,102421,100000,23749,14070,20200904,5
100634,101337,100023,700,10171,20200904,1
100634,100052,100026,7342,9917,20200904,2
100634,104656,100000,7384,9355,20200904,3
100634,102480,100005,1878,9985,20200904,4
100634,103248,100013,2415,11955,20200904,5
100640,100458,100000,10100,3967,20200904,1
100640,104077,100017,10055,8234,20200904,2
100640,103590,100327,10152,10300,20200904,3
100640,101620,100027,9889,6767,20200904,4
100640,101958,100008,10153,15817,20200904,5
100645,103375,100027,7596,11284,20200904,1
100645,103287,100024,7563,6101,20200904,2
100645,103971,100054,7505,57558,20200904,3
100645,107252,100009,3235,7588,20200904,4
100645,103894,100011,7688,10455,20200904,5
100655,102864,100017,5360,10221,20200904,1
100655,103972,100000,2165,5480,20200904,2
100655,100984,100054,14628,10937,20200904,3
100655,101577,100031,2184,4600,20200904,4
100655,102397,100005,11911,7360,20200904,5
100661,100675,100000,7440,13255,20200904,1
100661,103237,100017,6407,6522,20200904,2
100661,106419,100000,9396,12288,20200904,3
100661,101066,100000,7400,5155,20200904,4
100661,100874,100051,9363,7709,20200904,5
100666,103265,100000,7453,9955,20200904,1
100666,104818,100018,19056,7035,20200904,2
100666,100458,100000,8082,3994,20200904,3
100666,101299,100077,2827,11796,20200904,4
100666,100276,100024,3310,12088,20200904,5
100682,100495,100013,8221,10200,20200904,1
100682,100161,100068,8660,11545,20200904,2
100682,102112,100000,25454,10600,20200904,3
100682,103296,100019,15643,10914,20200904,4
100682,100930,100017,5931,16000,20200904,5
100686,102725,100224,1781,7106,20200904,1
100686,101756,100000,2344,8725,20200904,2
100686,104137,100030,5434,28721,20200904,3
100686,106955,100049,7871,12122,20200904,4
100686,104670,100017,6592,6955,20200904,5
100687,102272,100259,1669,7500,20200904,1
100687,102318,100037,1975,15634,20200904,2
100687,100238,100090,1999,30067,20200904,3
100687,101331,100017,1572,3604,20200904,4
100687,104641,100017,1383,41900,20200904,5
100689,102725,100224,8436,7167,20200904,1
100689,102440,100026,10743,7117,20200904,2
100689,108175,100028,3629,7367,20200904,3
100689,100563,100113,8821,5016,20200904,4
100689,101814,100027,12936,8161,20200904,5
100693,106200,100019,4679,105976,20200904,1
100693,105421,100236,2159,9567,20200904,2
100693,102846,100037,5027,7234,20200904,3
100693,101522,100000,1173,12075,20200904,4
100693,102204,100019,3027,10617,20200904,5
100699,100801,100055,9573,3065,20200904,1
100699,107062,100013,12352,8321,20200904,2
100699,104277,100028,11875,7080,20200904,3
100699,101351,100010,4884,7592,20200904,4
100699,100087,100031,6140,11334,20200904,5
100705,103264,100063,5801,10264,20200904,1
100705,101870,100000,15006,10356,20200904,2
100705,101417,100000,5123,10134,20200904,3
100705,102517,100054,5080,10321,20200904,4
100705,101031,100049,6904,9429,20200904,5
100706,102725,100224,1362,7106,20200904,1
100706,101678,100000,6157,14122,20200904,2
100706,102318,100037,5708,15655,20200904,3
100706,102418,100054,2458,57567,20200904,4
100706,103262,100313,7575,16038,20200904,5
100709,107815,100017,8525,7106,20200904,1
100709,102725,100224,7492,7106,20200904,2
100709,108046,100043,6550,5803,20200904,3
100709,105234,100007,8566,38174,20200904,4
100709,104726,100057,8534,8685,20200904,5
100711,102725,100224,0,7106,20200904,1
100711,102318,100037,7519,15655,20200904,2
100711,102318,100037,7544,15655,20200904,3
100711,102318,100037,3459,15655,20200904,4
100711,102318,100037,3328,15655,20200904,5
100725,101783,100054,15983,33067,20200904,1
100725,108455,100028,3239,11120,20200904,2
100725,101596,100008,16159,20966,20200904,3
100725,104528,100368,3067,9988,20200904,4
100725,102725,100224,3119,7106,20200904,5
100727,100044,100035,11467,9021,20200904,1
100727,103539,100027,8494,10051,20200904,2
100727,100580,100017,2227,3390,20200904,3
100727,100299,100049,4200,4064,20200904,4
100727,103987,100147,6237,12034,20200904,5
100734,103268,100017,8756,6502,20200904,1
100734,104213,100049,5707,6067,20200904,2
100734,100807,100049,8964,15467,20200904,3
100734,101577,100031,8952,4600,20200904,4
100734,100758,100000,6913,8421,20200904,5
100743,102725,100224,4861,7167,20200904,1
100743,103423,100014,3858,17000,20200904,2
100743,102942,100012,5844,13739,20200904,3
100743,102864,100017,7860,10200,20200904,4
100743,100675,100000,4846,13234,20200904,5
100744,102725,100224,55136,7167,20200904,1
100744,101143,100163,13711,8600,20200904,2
100744,103287,100024,2642,6080,20200904,3
100744,103529,100005,7003,17926,20200904,4
100744,102421,100000,5122,14040,20200904,5
100768,104403,100113,1937,10688,20200904,1
100768,101536,100037,5691,10248,20200904,2
100768,104077,100017,1301,8254,20200904,3
100768,103975,100036,12979,9771,20200904,4
100768,101319,100014,5896,10778,20200904,5
100769,104268,100270,12927,9034,20200904,1
100769,100801,100055,12927,3034,20200904,2
100769,101688,100019,6939,11067,20200904,3
100769,104449,100027,7725,13514,20200904,4
100769,102805,100017,26051,7434,20200904,5
100771,103854,100054,5763,48149,20200904,1
100771,105461,100179,5968,14139,20200904,2
100771,103092,100009,6018,13655,20200904,3
100771,102725,100224,6038,7106,20200904,4
100771,102065,100011,6059,9734,20200904,5
100787,105920,100045,12992,8055,20200904,1
100787,100672,100024,12933,9427,20200904,2
100787,103727,100028,234,7600,20200904,3
100787,106058,100093,13013,7600,20200904,4
100787,105818,100013,13144,8409,20200904,5
100792,101367,100027,9517,5567,20200904,1
100792,106014,100009,9251,3800,20200904,2
100792,103686,100010,9454,8234,20200904,3
100792,103937,100165,9037,41734,20200904,4
100792,101363,100000,661,8685,20200904,5
100810,103287,100024,6918,6101,20200904,1
100810,103894,100011,11965,10455,20200904,2
100810,105796,100076,11835,6200,20200904,3
100810,102092,100005,11979,7100,20200904,4
100810,101056,100027,2350,82060,20200904,5
100812,102384,100270,6636,16601,20200904,1
100812,100356,100000,7678,9056,20200904,2
100812,102314,100054,7718,99400,20200904,3
100812,106858,100009,8680,5247,20200904,4
100812,105512,100009,7712,5294,20200904,5
100815,100618,100121,8249,8267,20200904,1
100815,103529,100005,8886,17926,20200904,2
100815,108755,100245,8267,15061,20200904,3
100815,102562,100005,1943,140017,20200904,4
100815,100669,100128,1951,19133,20200904,5
100833,102859,100019,1431,13255,20200904,1
100833,100904,100053,16712,15093,20200904,2
100833,102365,100054,1959,18203,20200904,3
100833,100499,100000,1346,13067,20200904,4
100833,106436,100000,3399,13488,20200904,5
100837,102725,100224,9155,7167,20200904,1
100837,102418,100054,8888,57567,20200904,2
100837,100888,100112,8789,9451,20200904,3
100837,105636,100009,8542,3750,20200904,4
100837,103124,100043,8415,7459,20200904,5
100842,102106,100057,8139,12880,20200904,1
100842,100084,100035,3877,11600,20200904,2
100842,102343,100267,2761,10403,20200904,3
100842,106140,100401,3956,8334,20200904,4
100842,105362,100054,11703,11776,20200904,5
100846,100458,100000,5210,3994,20200904,1
100846,102719,100285,4184,15000,20200904,2
100846,100499,100000,7247,13067,20200904,3
100846,100801,100055,9174,3065,20200904,4
100846,105964,100011,13247,15034,20200904,5
100848,101634,100043,5600,13003,20200904,1
100848,107430,100147,4995,10134,20200904,2
100848,102106,100057,8027,12880,20200904,3
100848,102089,100013,7372,7093,20200904,4
100848,102071,100027,8586,7134,20200904,5
100855,102725,100224,7413,7106,20200904,1
100855,106140,100401,8473,8334,20200904,2
100855,100772,100013,12434,7621,20200904,3
100855,103237,100017,13347,6522,20200904,4
100855,103092,100009,5393,13655,20200904,5
100859,103484,100009,11139,25124,20200904,1
100859,100118,100052,1255,8150,20200904,2
100859,102088,100247,11963,9728,20200904,3
100859,100458,100000,11119,3994,20200904,4
100859,103894,100011,11130,10455,20200904,5
